leaf_idx,type,ne,classification,first_referencing_node,reasoning
221,q4_0_ar16,6144x5120x1x1,weight:blk.13.ssm_out.weight,n815,unique Q4_0_AR16 6144x5120 in block
222,f32,5120x1x1x1,weight:blk.13.post_attention_norm.weight,n819,f32[5120] MUL paired with pre-FFN RMS_NORM
223,q4_0,5120x17408x1x1,weight:blk.13.ffn_gate.weight,n820,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
224,q4_0,5120x17408x1x1,weight:blk.13.ffn_up.weight,n821,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
225,q4_0,17408x5120x1x1,weight:blk.13.ffn_down.weight,n823,unique q4_0 17408x5120 in block
226,f32,5120x1x1x1,weight:blk.14.attn_norm.weight,n826,f32[5120] MUL paired with pre-mixer RMS_NORM
227,f32,30720x1x1x1,state:conv_state(blk.14),n827,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
228,q4_0,5120x10240x1x1,weight:blk.14.attn_qkv.weight,n835,unique q4_0 5120x10240 in block
229,f32,786432x1x1x1,state:ssm_state(blk.14),n842,f32[786432]=128x128x48 GDN recurrent state
230,f32,4x10240x1x1,weight:blk.14.ssm_conv1d.weight,n849,f32 4x10240 SSM_CONV kernel
231,f16,5120x48x1x1,weight:blk.14.ssm_alpha.weight,n856,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
232,f32,48x1x1x1,weight:blk.14.ssm_dt.bias,n858,f32[48] ADD operand on the alpha path
233,f32,48x1x1x1,weight:blk.14.ssm_a,n860,f32[48] MUL operand after softplus (-exp(A_log) factor)
234,f16,5120x48x1x1,weight:blk.14.ssm_beta.weight,n862,f16 5120x48 GEMV feeding sigmoid (mixing path)
235,f32,128x1x1x1,weight:blk.14.ssm_norm.weight,n873,f32[128] MUL after the per-head RMS_NORM of the GDN output
236,q4_0,5120x6144x1x1,weight:blk.14.attn_gate.weight,n874,unique q4_0 5120x6144 in block (z-gate GEMV)
237,q4_0_ar16,6144x5120x1x1,weight:blk.14.ssm_out.weight,n879,unique Q4_0_AR16 6144x5120 in block
238,f32,5120x1x1x1,weight:blk.14.post_attention_norm.weight,n883,f32[5120] MUL paired with pre-FFN RMS_NORM
239,q4_0,5120x17408x1x1,weight:blk.14.ffn_gate.weight,n884,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
240,q4_0,5120x17408x1x1,weight:blk.14.ffn_up.weight,n885,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
241,q4_0,17408x5120x1x1,weight:blk.14.ffn_down.weight,n887,unique q4_0 17408x5120 in block
242,f32,5120x1x1x1,weight:blk.15.attn_norm.weight,n890,f32[5120] MUL paired with pre-mixer RMS_NORM
243,q4_0,5120x12288x1x1,weight:blk.15.attn_q.weight,n891,unique q4_0 5120x12288 in block (q+gate interleaved)
244,f32,256x1x1x1,weight:blk.15.attn_q_norm.weight,n894,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
245,q4_0,5120x1024x1x1,weight:blk.15.attn_v.weight,n896,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
246,q4_0,5120x1024x1x1,weight:blk.15.attn_k.weight,n898,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
247,f32,256x1x1x1,weight:blk.15.attn_k_norm.weight,n901,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
248,f16,1024x262144x1x1,cache_k(blk.15),n904,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
249,f16,1024x262144x1x1,cache_v(blk.15),n906,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
250,q4_0,6144x5120x1x1,weight:blk.15.attn_output.weight,n919,unique q4_0 6144x5120 in block
251,f32,5120x1x1x1,weight:blk.15.post_attention_norm.weight,n922,f32[5120] MUL paired with pre-FFN RMS_NORM
252,q4_0,5120x17408x1x1,weight:blk.15.ffn_gate.weight,n923,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
253,q4_0,5120x17408x1x1,weight:blk.15.ffn_up.weight,n924,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
254,q4_0,17408x5120x1x1,weight:blk.15.ffn_down.weight,n926,unique q4_0 17408x5120 in block
255,f32,5120x1x1x1,weight:blk.16.attn_norm.weight,n929,f32[5120] MUL paired with pre-mixer RMS_NORM
256,f32,30720x1x1x1,state:conv_state(blk.16),n930,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
257,q4_0,5120x10240x1x1,weight:blk.16.attn_qkv.weight,n938,unique q4_0 5120x10240 in block
258,f32,786432x1x1x1,state:ssm_state(blk.16),n945,f32[786432]=128x128x48 GDN recurrent state
259,f32,4x10240x1x1,weight:blk.16.ssm_conv1d.weight,n952,f32 4x10240 SSM_CONV kernel
260,f16,5120x48x1x1,weight:blk.16.ssm_alpha.weight,n959,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
261,f32,48x1x1x1,weight:blk.16.ssm_dt.bias,n961,f32[48] ADD operand on the alpha path
262,f32,48x1x1x1,weight:blk.16.ssm_a,n963,f32[48] MUL operand after softplus (-exp(A_log) factor)
263,f16,5120x48x1x1,weight:blk.16.ssm_beta.weight,n965,f16 5120x48 GEMV feeding sigmoid (mixing path)
264,f32,128x1x1x1,weight:blk.16.ssm_norm.weight,n976,f32[128] MUL after the per-head RMS_NORM of the GDN output
265,q4_0,5120x6144x1x1,weight:blk.16.attn_gate.weight,n977,unique q4_0 5120x6144 in block (z-gate GEMV)
266,q4_0_ar16,6144x5120x1x1,weight:blk.16.ssm_out.weight,n982,unique Q4_0_AR16 6144x5120 in block
267,f32,5120x1x1x1,weight:blk.16.post_attention_norm.weight,n986,f32[5120] MUL paired with pre-FFN RMS_NORM
268,q4_0,5120x17408x1x1,weight:blk.16.ffn_gate.weight,n987,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
269,q4_0,5120x17408x1x1,weight:blk.16.ffn_up.weight,n988,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
270,q4_0,17408x5120x1x1,weight:blk.16.ffn_down.weight,n990,unique q4_0 17408x5120 in block
271,f32,5120x1x1x1,weight:blk.17.attn_norm.weight,n993,f32[5120] MUL paired with pre-mixer RMS_NORM
272,f32,30720x1x1x1,state:conv_state(blk.17),n994,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
273,q4_0,5120x10240x1x1,weight:blk.17.attn_qkv.weight,n1002,unique q4_0 5120x10240 in block
274,f32,786432x1x1x1,state:ssm_state(blk.17),n1009,f32[786432]=128x128x48 GDN recurrent state
275,f32,4x10240x1x1,weight:blk.17.ssm_conv1d.weight,n1016,f32 4x10240 SSM_CONV kernel
276,f16,5120x48x1x1,weight:blk.17.ssm_alpha.weight,n1023,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
277,f32,48x1x1x1,weight:blk.17.ssm_dt.bias,n1025,f32[48] ADD operand on the alpha path
278,f32,48x1x1x1,weight:blk.17.ssm_a,n1027,f32[48] MUL operand after softplus (-exp(A_log) factor)
279,f16,5120x48x1x1,weight:blk.17.ssm_beta.weight,n1029,f16 5120x48 GEMV feeding sigmoid (mixing path)
280,f32,128x1x1x1,weight:blk.17.ssm_norm.weight,n1040,f32[128] MUL after the per-head RMS_NORM of the GDN output
281,q4_0,5120x6144x1x1,weight:blk.17.attn_gate.weight,n1041,unique q4_0 5120x6144 in block (z-gate GEMV)
282,q4_0_ar16,6144x5120x1x1,weight:blk.17.ssm_out.weight,n1046,unique Q4_0_AR16 6144x5120 in block
283,f32,5120x1x1x1,weight:blk.17.post_attention_norm.weight,n1050,f32[5120] MUL paired with pre-FFN RMS_NORM
284,q4_0,5120x17408x1x1,weight:blk.17.ffn_gate.weight,n1051,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
285,q4_0,5120x17408x1x1,weight:blk.17.ffn_up.weight,n1052,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
286,q4_0,17408x5120x1x1,weight:blk.17.ffn_down.weight,n1054,unique q4_0 17408x5120 in block
287,f32,5120x1x1x1,weight:blk.18.attn_norm.weight,n1057,f32[5120] MUL paired with pre-mixer RMS_NORM
288,f32,30720x1x1x1,state:conv_state(blk.18),n1058,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
289,q4_0,5120x10240x1x1,weight:blk.18.attn_qkv.weight,n1066,unique q4_0 5120x10240 in block
290,f32,786432x1x1x1,state:ssm_state(blk.18),n1073,f32[786432]=128x128x48 GDN recurrent state
291,f32,4x10240x1x1,weight:blk.18.ssm_conv1d.weight,n1080,f32 4x10240 SSM_CONV kernel
292,f16,5120x48x1x1,weight:blk.18.ssm_alpha.weight,n1087,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
293,f32,48x1x1x1,weight:blk.18.ssm_dt.bias,n1089,f32[48] ADD operand on the alpha path
294,f32,48x1x1x1,weight:blk.18.ssm_a,n1091,f32[48] MUL operand after softplus (-exp(A_log) factor)
295,f16,5120x48x1x1,weight:blk.18.ssm_beta.weight,n1093,f16 5120x48 GEMV feeding sigmoid (mixing path)
296,f32,128x1x1x1,weight:blk.18.ssm_norm.weight,n1104,f32[128] MUL after the per-head RMS_NORM of the GDN output
297,q4_0,5120x6144x1x1,weight:blk.18.attn_gate.weight,n1105,unique q4_0 5120x6144 in block (z-gate GEMV)
298,q4_0_ar16,6144x5120x1x1,weight:blk.18.ssm_out.weight,n1110,unique Q4_0_AR16 6144x5120 in block
299,f32,5120x1x1x1,weight:blk.18.post_attention_norm.weight,n1114,f32[5120] MUL paired with pre-FFN RMS_NORM
300,q4_0,5120x17408x1x1,weight:blk.18.ffn_gate.weight,n1115,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
301,q4_0,5120x17408x1x1,weight:blk.18.ffn_up.weight,n1116,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
302,q4_0,17408x5120x1x1,weight:blk.18.ffn_down.weight,n1118,unique q4_0 17408x5120 in block
303,f32,5120x1x1x1,weight:blk.19.attn_norm.weight,n1121,f32[5120] MUL paired with pre-mixer RMS_NORM
304,q4_0,5120x12288x1x1,weight:blk.19.attn_q.weight,n1122,unique q4_0 5120x12288 in block (q+gate interleaved)
305,f32,256x1x1x1,weight:blk.19.attn_q_norm.weight,n1125,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
306,q4_0,5120x1024x1x1,weight:blk.19.attn_v.weight,n1127,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
307,q4_0,5120x1024x1x1,weight:blk.19.attn_k.weight,n1129,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
308,f32,256x1x1x1,weight:blk.19.attn_k_norm.weight,n1132,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
309,f16,1024x262144x1x1,cache_k(blk.19),n1135,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
310,f16,1024x262144x1x1,cache_v(blk.19),n1137,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
311,q4_0,6144x5120x1x1,weight:blk.19.attn_output.weight,n1150,unique q4_0 6144x5120 in block
312,f32,5120x1x1x1,weight:blk.19.post_attention_norm.weight,n1153,f32[5120] MUL paired with pre-FFN RMS_NORM
313,q4_0,5120x17408x1x1,weight:blk.19.ffn_gate.weight,n1154,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
314,q4_0,5120x17408x1x1,weight:blk.19.ffn_up.weight,n1155,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
315,q4_0,17408x5120x1x1,weight:blk.19.ffn_down.weight,n1157,unique q4_0 17408x5120 in block
316,f32,5120x1x1x1,weight:blk.20.attn_norm.weight,n1160,f32[5120] MUL paired with pre-mixer RMS_NORM
317,f32,30720x1x1x1,state:conv_state(blk.20),n1161,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
318,q4_0,5120x10240x1x1,weight:blk.20.attn_qkv.weight,n1169,unique q4_0 5120x10240 in block
319,f32,786432x1x1x1,state:ssm_state(blk.20),n1176,f32[786432]=128x128x48 GDN recurrent state
320,f32,4x10240x1x1,weight:blk.20.ssm_conv1d.weight,n1183,f32 4x10240 SSM_CONV kernel
321,f16,5120x48x1x1,weight:blk.20.ssm_alpha.weight,n1190,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
322,f32,48x1x1x1,weight:blk.20.ssm_dt.bias,n1192,f32[48] ADD operand on the alpha path
323,f32,48x1x1x1,weight:blk.20.ssm_a,n1194,f32[48] MUL operand after softplus (-exp(A_log) factor)
324,f16,5120x48x1x1,weight:blk.20.ssm_beta.weight,n1196,f16 5120x48 GEMV feeding sigmoid (mixing path)
325,f32,128x1x1x1,weight:blk.20.ssm_norm.weight,n1207,f32[128] MUL after the per-head RMS_NORM of the GDN output
326,q4_0,5120x6144x1x1,weight:blk.20.attn_gate.weight,n1208,unique q4_0 5120x6144 in block (z-gate GEMV)
327,q4_0_ar16,6144x5120x1x1,weight:blk.20.ssm_out.weight,n1213,unique Q4_0_AR16 6144x5120 in block
328,f32,5120x1x1x1,weight:blk.20.post_attention_norm.weight,n1217,f32[5120] MUL paired with pre-FFN RMS_NORM
329,q4_0,5120x17408x1x1,weight:blk.20.ffn_gate.weight,n1218,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
330,q4_0,5120x17408x1x1,weight:blk.20.ffn_up.weight,n1219,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
331,q4_0,17408x5120x1x1,weight:blk.20.ffn_down.weight,n1221,unique q4_0 17408x5120 in block
332,f32,5120x1x1x1,weight:blk.21.attn_norm.weight,n1224,f32[5120] MUL paired with pre-mixer RMS_NORM
333,f32,30720x1x1x1,state:conv_state(blk.21),n1225,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
334,q4_0,5120x10240x1x1,weight:blk.21.attn_qkv.weight,n1233,unique q4_0 5120x10240 in block
335,f32,786432x1x1x1,state:ssm_state(blk.21),n1240,f32[786432]=128x128x48 GDN recurrent state
336,f32,4x10240x1x1,weight:blk.21.ssm_conv1d.weight,n1247,f32 4x10240 SSM_CONV kernel
337,f16,5120x48x1x1,weight:blk.21.ssm_alpha.weight,n1254,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
338,f32,48x1x1x1,weight:blk.21.ssm_dt.bias,n1256,f32[48] ADD operand on the alpha path
339,f32,48x1x1x1,weight:blk.21.ssm_a,n1258,f32[48] MUL operand after softplus (-exp(A_log) factor)
340,f16,5120x48x1x1,weight:blk.21.ssm_beta.weight,n1260,f16 5120x48 GEMV feeding sigmoid (mixing path)
341,f32,128x1x1x1,weight:blk.21.ssm_norm.weight,n1271,f32[128] MUL after the per-head RMS_NORM of the GDN output
342,q4_0,5120x6144x1x1,weight:blk.21.attn_gate.weight,n1272,unique q4_0 5120x6144 in block (z-gate GEMV)
343,q4_0_ar16,6144x5120x1x1,weight:blk.21.ssm_out.weight,n1277,unique Q4_0_AR16 6144x5120 in block
344,f32,5120x1x1x1,weight:blk.21.post_attention_norm.weight,n1281,f32[5120] MUL paired with pre-FFN RMS_NORM
345,q4_0,5120x17408x1x1,weight:blk.21.ffn_gate.weight,n1282,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
346,q4_0,5120x17408x1x1,weight:blk.21.ffn_up.weight,n1283,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
347,q4_0,17408x5120x1x1,weight:blk.21.ffn_down.weight,n1285,unique q4_0 17408x5120 in block
348,f32,5120x1x1x1,weight:blk.22.attn_norm.weight,n1288,f32[5120] MUL paired with pre-mixer RMS_NORM
349,f32,30720x1x1x1,state:conv_state(blk.22),n1289,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
350,q4_0,5120x10240x1x1,weight:blk.22.attn_qkv.weight,n1297,unique q4_0 5120x10240 in block
351,f32,786432x1x1x1,state:ssm_state(blk.22),n1304,f32[786432]=128x128x48 GDN recurrent state
352,f32,4x10240x1x1,weight:blk.22.ssm_conv1d.weight,n1311,f32 4x10240 SSM_CONV kernel
353,f16,5120x48x1x1,weight:blk.22.ssm_alpha.weight,n1318,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
354,f32,48x1x1x1,weight:blk.22.ssm_dt.bias,n1320,f32[48] ADD operand on the alpha path
355,f32,48x1x1x1,weight:blk.22.ssm_a,n1322,f32[48] MUL operand after softplus (-exp(A_log) factor)
356,f16,5120x48x1x1,weight:blk.22.ssm_beta.weight,n1324,f16 5120x48 GEMV feeding sigmoid (mixing path)
357,f32,128x1x1x1,weight:blk.22.ssm_norm.weight,n1335,f32[128] MUL after the per-head RMS_NORM of the GDN output
358,q4_0,5120x6144x1x1,weight:blk.22.attn_gate.weight,n1336,unique q4_0 5120x6144 in block (z-gate GEMV)
359,q4_0_ar16,6144x5120x1x1,weight:blk.22.ssm_out.weight,n1341,unique Q4_0_AR16 6144x5120 in block
360,f32,5120x1x1x1,weight:blk.22.post_attention_norm.weight,n1345,f32[5120] MUL paired with pre-FFN RMS_NORM
361,q4_0,5120x17408x1x1,weight:blk.22.ffn_gate.weight,n1346,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
362,q4_0,5120x17408x1x1,weight:blk.22.ffn_up.weight,n1347,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
363,q4_0,17408x5120x1x1,weight:blk.22.ffn_down.weight,n1349,unique q4_0 17408x5120 in block
364,f32,5120x1x1x1,weight:blk.23.attn_norm.weight,n1352,f32[5120] MUL paired with pre-mixer RMS_NORM
365,q4_0,5120x12288x1x1,weight:blk.23.attn_q.weight,n1353,unique q4_0 5120x12288 in block (q+gate interleaved)
366,f32,256x1x1x1,weight:blk.23.attn_q_norm.weight,n1356,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
367,q4_0,5120x1024x1x1,weight:blk.23.attn_v.weight,n1358,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
368,q4_0,5120x1024x1x1,weight:blk.23.attn_k.weight,n1360,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
369,f32,256x1x1x1,weight:blk.23.attn_k_norm.weight,n1363,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
370,f16,1024x262144x1x1,cache_k(blk.23),n1366,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
371,f16,1024x262144x1x1,cache_v(blk.23),n1368,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
372,q4_0,6144x5120x1x1,weight:blk.23.attn_output.weight,n1381,unique q4_0 6144x5120 in block
373,f32,5120x1x1x1,weight:blk.23.post_attention_norm.weight,n1384,f32[5120] MUL paired with pre-FFN RMS_NORM
374,q4_0,5120x17408x1x1,weight:blk.23.ffn_gate.weight,n1385,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
375,q4_0,5120x17408x1x1,weight:blk.23.ffn_up.weight,n1386,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
376,q4_0,17408x5120x1x1,weight:blk.23.ffn_down.weight,n1388,unique q4_0 17408x5120 in block
377,f32,5120x1x1x1,weight:blk.24.attn_norm.weight,n1391,f32[5120] MUL paired with pre-mixer RMS_NORM
378,f32,30720x1x1x1,state:conv_state(blk.24),n1392,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
379,q4_0,5120x10240x1x1,weight:blk.24.attn_qkv.weight,n1400,unique q4_0 5120x10240 in block
380,f32,786432x1x1x1,state:ssm_state(blk.24),n1407,f32[786432]=128x128x48 GDN recurrent state
381,f32,4x10240x1x1,weight:blk.24.ssm_conv1d.weight,n1414,f32 4x10240 SSM_CONV kernel
382,f16,5120x48x1x1,weight:blk.24.ssm_alpha.weight,n1421,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
383,f32,48x1x1x1,weight:blk.24.ssm_dt.bias,n1423,f32[48] ADD operand on the alpha path
384,f32,48x1x1x1,weight:blk.24.ssm_a,n1425,f32[48] MUL operand after softplus (-exp(A_log) factor)
385,f16,5120x48x1x1,weight:blk.24.ssm_beta.weight,n1427,f16 5120x48 GEMV feeding sigmoid (mixing path)
386,f32,128x1x1x1,weight:blk.24.ssm_norm.weight,n1438,f32[128] MUL after the per-head RMS_NORM of the GDN output
387,q4_0,5120x6144x1x1,weight:blk.24.attn_gate.weight,n1439,unique q4_0 5120x6144 in block (z-gate GEMV)
388,q4_0_ar16,6144x5120x1x1,weight:blk.24.ssm_out.weight,n1444,unique Q4_0_AR16 6144x5120 in block
389,f32,5120x1x1x1,weight:blk.24.post_attention_norm.weight,n1448,f32[5120] MUL paired with pre-FFN RMS_NORM
390,q4_0,5120x17408x1x1,weight:blk.24.ffn_gate.weight,n1449,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
391,q4_0,5120x17408x1x1,weight:blk.24.ffn_up.weight,n1450,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
392,q4_0,17408x5120x1x1,weight:blk.24.ffn_down.weight,n1452,unique q4_0 17408x5120 in block
393,f32,5120x1x1x1,weight:blk.25.attn_norm.weight,n1455,f32[5120] MUL paired with pre-mixer RMS_NORM
394,f32,30720x1x1x1,state:conv_state(blk.25),n1456,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
395,q4_0,5120x10240x1x1,weight:blk.25.attn_qkv.weight,n1464,unique q4_0 5120x10240 in block
396,f32,786432x1x1x1,state:ssm_state(blk.25),n1471,f32[786432]=128x128x48 GDN recurrent state
397,f32,4x10240x1x1,weight:blk.25.ssm_conv1d.weight,n1478,f32 4x10240 SSM_CONV kernel
398,f16,5120x48x1x1,weight:blk.25.ssm_alpha.weight,n1485,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
399,f32,48x1x1x1,weight:blk.25.ssm_dt.bias,n1487,f32[48] ADD operand on the alpha path
400,f32,48x1x1x1,weight:blk.25.ssm_a,n1489,f32[48] MUL operand after softplus (-exp(A_log) factor)
401,f16,5120x48x1x1,weight:blk.25.ssm_beta.weight,n1491,f16 5120x48 GEMV feeding sigmoid (mixing path)
402,f32,128x1x1x1,weight:blk.25.ssm_norm.weight,n1502,f32[128] MUL after the per-head RMS_NORM of the GDN output
403,q4_0,5120x6144x1x1,weight:blk.25.attn_gate.weight,n1503,unique q4_0 5120x6144 in block (z-gate GEMV)
404,q4_0_ar16,6144x5120x1x1,weight:blk.25.ssm_out.weight,n1508,unique Q4_0_AR16 6144x5120 in block
405,f32,5120x1x1x1,weight:blk.25.post_attention_norm.weight,n1512,f32[5120] MUL paired with pre-FFN RMS_NORM
406,q4_0,5120x17408x1x1,weight:blk.25.ffn_gate.weight,n1513,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
407,q4_0,5120x17408x1x1,weight:blk.25.ffn_up.weight,n1514,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
408,q4_0,17408x5120x1x1,weight:blk.25.ffn_down.weight,n1516,unique q4_0 17408x5120 in block
409,f32,5120x1x1x1,weight:blk.26.attn_norm.weight,n1519,f32[5120] MUL paired with pre-mixer RMS_NORM
410,f32,30720x1x1x1,state:conv_state(blk.26),n1520,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
411,q4_0,5120x10240x1x1,weight:blk.26.attn_qkv.weight,n1528,unique q4_0 5120x10240 in block
412,f32,786432x1x1x1,state:ssm_state(blk.26),n1535,f32[786432]=128x128x48 GDN recurrent state
413,f32,4x10240x1x1,weight:blk.26.ssm_conv1d.weight,n1542,f32 4x10240 SSM_CONV kernel
414,f16,5120x48x1x1,weight:blk.26.ssm_alpha.weight,n1549,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
415,f32,48x1x1x1,weight:blk.26.ssm_dt.bias,n1551,f32[48] ADD operand on the alpha path
416,f32,48x1x1x1,weight:blk.26.ssm_a,n1553,f32[48] MUL operand after softplus (-exp(A_log) factor)
417,f16,5120x48x1x1,weight:blk.26.ssm_beta.weight,n1555,f16 5120x48 GEMV feeding sigmoid (mixing path)
418,f32,128x1x1x1,weight:blk.26.ssm_norm.weight,n1566,f32[128] MUL after the per-head RMS_NORM of the GDN output
419,q4_0,5120x6144x1x1,weight:blk.26.attn_gate.weight,n1567,unique q4_0 5120x6144 in block (z-gate GEMV)
420,q4_0_ar16,6144x5120x1x1,weight:blk.26.ssm_out.weight,n1572,unique Q4_0_AR16 6144x5120 in block
421,f32,5120x1x1x1,weight:blk.26.post_attention_norm.weight,n1576,f32[5120] MUL paired with pre-FFN RMS_NORM
422,q4_0,5120x17408x1x1,weight:blk.26.ffn_gate.weight,n1577,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
423,q4_0,5120x17408x1x1,weight:blk.26.ffn_up.weight,n1578,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
424,q4_0,17408x5120x1x1,weight:blk.26.ffn_down.weight,n1580,unique q4_0 17408x5120 in block
425,f32,5120x1x1x1,weight:blk.27.attn_norm.weight,n1583,f32[5120] MUL paired with pre-mixer RMS_NORM
426,q4_0,5120x12288x1x1,weight:blk.27.attn_q.weight,n1584,unique q4_0 5120x12288 in block (q+gate interleaved)
427,f32,256x1x1x1,weight:blk.27.attn_q_norm.weight,n1587,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
428,q4_0,5120x1024x1x1,weight:blk.27.attn_v.weight,n1589,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
429,q4_0,5120x1024x1x1,weight:blk.27.attn_k.weight,n1591,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
430,f32,256x1x1x1,weight:blk.27.attn_k_norm.weight,n1594,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
431,f16,1024x262144x1x1,cache_k(blk.27),n1597,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
432,f16,1024x262144x1x1,cache_v(blk.27),n1599,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
433,q4_0,6144x5120x1x1,weight:blk.27.attn_output.weight,n1612,unique q4_0 6144x5120 in block
434,f32,5120x1x1x1,weight:blk.27.post_attention_norm.weight,n1615,f32[5120] MUL paired with pre-FFN RMS_NORM
435,q4_0,5120x17408x1x1,weight:blk.27.ffn_gate.weight,n1616,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
436,q4_0,5120x17408x1x1,weight:blk.27.ffn_up.weight,n1617,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
437,q4_0,17408x5120x1x1,weight:blk.27.ffn_down.weight,n1619,unique q4_0 17408x5120 in block
438,f32,5120x1x1x1,weight:blk.28.attn_norm.weight,n1622,f32[5120] MUL paired with pre-mixer RMS_NORM
